DateTime,Temp,RH,DewPt,Wind,Dir,Gust,GustDir,Press,Solar,Prec
"2020-10-14 23:00",6.333,69.2,1.1039198366411,1.954,189,4.116,126,841.63,0.005,0
"2020-10-14 22:00",6.468,70.73,1.5381292823811,2.641,131,4.763,131,839.892,0.056,0
"2020-10-14 21:00",6.88,67.91,1.365725652286,2.67,120,4.92,144,838.512,0.018,0
"2020-10-14 20:00",7.3,66.25,1.4218978996538,3.145,179,5.743,136,834.519,0.022,0
"2020-10-14 19:00",7.715,64.69,1.4848176520834,3.263,135,5.547,138,839.155,0.163,0
"2020-10-14 18:00",8.49,63.93,2.0560684413093,4.071,155,8.02,142,0,0.94,0
"2020-10-14 17:00",10.99,59.86,3.4932251321281,5.861,95,10.23,133,0,21.87,0
"2020-10-14 16:00",14.25,51.56,4.4122188895695,4.034,152,10.88,125,0,81.9,0
"2020-10-14 15:00",13.88,50.48,3.7687219769823,3.715,115,7.977,179,0,100.4,0
"2020-10-14 14:00",16.08,51.65,6.1299875991804,5.996,152,17.27,287,0,58.55,0
"2020-10-14 13:00",22.53,22.39,-0.0012239094408256,8.45,124,16.76,289,0,41.53,0
"2020-10-14 12:00",22.85,15.03,-5.1160636695862,9.26,291,20.31,270,0,149.3,0
"2020-10-14 11:00",22.04,16.45,-4.5733127699313,8.86,264,21.31,268,0,119.6,0
"2020-10-14 10:00",21.81,15.33,-5.6899899693626,10.12,275,21.27,265,0,150.5,0
"2020-10-14 09:00",21.14,14.8,-6.6879140865466,7.627,287,16.09,290,0,102.8,0
"2020-10-14 08:00",20.16,14.22,-7.9894362759333,5.899,280,14.43,314,1062.84,31.24,0
"2020-10-14 07:00",20.37,16.28,-6.0623854542608,3.978,350,10.8,272,1067.65,6.491,0
"2020-10-14 06:00",20.15,13.99,-8.2074215228195,2.574,243,11.37,269,1075.83,0.034,0
"2020-10-14 05:00",21.12,16.69,-5.1272730866936,4.391,192,13.31,275,0,0,0
"2020-10-14 04:00",19.56,14.36,-8.3424259397126,2.328,235,9.37,245,0,0.001,0
"2020-10-14 03:00",21.46,14.02,-7.1368129082102,4.6,276,15.01,248,0,0.002,0
"2020-10-14 02:00",18.09,17.61,-6.8927005219616,2.21,2,8.64,153,0,0.012,0
"2020-10-14 01:00",15.73,22.92,-5.4026656941111,2.322,196,5.586,234,830.799,0.008,0
"2020-10-14 00:00",12.28,31.88,-3.9965292221001,1.763,312,4.528,78,837.914,0.017,0
"2020-10-13 23:00",12.76,33.94,-2.735079370917,0.963,200,4.038,219,838.486,0.016,0
"2020-10-13 22:00",12.07,39.45,-1.3106122482895,1.56,179,5.135,252,835.087,0.071,0
"2020-10-13 21:00",11.68,45.3,0.23340520549907,1.275,243,4.861,341,0,0.166,0
"2020-10-13 20:00",12.6,42.05,0.041967516432831,1.142,218,3.822,256,0,0.179,0
"2020-10-13 19:00",11.63,45.01,0.099182954326698,2.426,272,4.214,353,844.456,0.105,0
"2020-10-13 18:00",14.59,41.47,1.6467561268622,1.254,251,3.273,240,0,4.721,0
"2020-10-13 17:00",18.87,28.11,0.0248781771977,1.038,237,2.254,333,0,109.9,0
"2020-10-13 16:00",19.58,22.92,-2.1587184390104,1.76,38,3.371,29,0,240.5,0
"2020-10-13 15:00",19.77,21.09,-3.1215197871581,2.316,82,5.468,125,0,405.3,0
"2020-10-13 14:00",19.11,20.12,-4.2996322653175,3.928,114,7.174,137,0,556.9,0
"2020-10-13 13:00",17.31,23.36,-3.816814309036,4.427,175,7.507,134,0,630.9,0
"2020-10-13 12:00",16.34,23.77,-4.4053303293356,3.267,171,7.076,153,0,643.5,0
"2020-10-13 11:00",14.58,25.8,-4.8161559077669,1.799,157,4.645,134,0,598.6,0
"2020-10-13 10:00",12.32,29.7,-4.9023387312506,1.937,141,4.332,142,0,390.8,0
"2020-10-13 09:00",11.93,32.55,-4.0265376218253,2.324,109,3.9,142,0,279.9,0
"2020-10-13 08:00",10.25,32.77,-5.4150933450672,1.633,111,3.41,137,845.195,183.4,0
"2020-10-13 07:00",6.076,43.64,-5.3771660922035,1.034,155,5.096,275,847.837,57.56,0
"2020-10-13 06:00",5.959,50.23,-3.6174103574403,1.33,240,3.548,300,818.519,0.343,0
"2020-10-13 05:00",11.5,33.45,-4.0416030337242,1.421,314,4.234,114,841.539,0.119,0
"2020-10-13 04:00",12.91,26.88,-5.7075562817429,1.767,146,5.586,240,840.921,0.129,0
"2020-10-13 03:00",11.77,24.44,-7.9221864486342,1.057,139,3.254,157,824.445,0.162,0
"2020-10-13 02:00",14.71,27.99,-3.6203004128652,1.906,241,5.174,240,767.141,0.093,0
"2020-10-13 01:00",16.01,18.05,-8.2787473168765,2.635,267,6.605,225,0,0.096,0
"2020-10-13 00:00",15.82,21.19,-6.3569629047089,1.857,253,5.762,300,0,0.051,0
"2020-10-12 23:00",17.78,16.9,-7.6794501292245,4.109,310,8.66,274,841.058,0.009,0
"2020-10-12 22:00",17.9,17.6,-7.0555337758186,4.471,291,9,259,841.537,0.001,0
"2020-10-12 21:00",18.56,15.74,-7.9646682996139,6.042,266,12.41,298,841.538,0,0
"2020-10-12 20:00",18.98,14.66,-8.5410310624758,7.613,269,11.68,291,0,0,0
