Year,Month,Nino34
1896, 1, 0.16
1896, 2, 0.09
1896, 3, 0.15
1896, 4, -0.01
1896, 5, -0.04
1896, 6, -0.21
1896, 7, 0.43
1896, 8, 1.05
1896, 9, 1.04
1896, 10, 1.10
1896, 11, 1.51
1896, 12, 1.55
1897, 1, 1.49
1897, 2, 1.14
1897, 3, 0.54
1897, 4, -0.22
1897, 5, -0.17
1897, 6, -0.02
1897, 7, 0.07
1897, 8, -0.15
1897, 9, -0.24
1897, 10, -0.57
1897, 11, -0.61
1897, 12, -0.40
1898, 1, -0.51
1898, 2, -0.57
1898, 3, -0.79
1898, 4, -0.61
1898, 5, -0.59
1898, 6, -0.28
1898, 7, -0.63
1898, 8, -0.76
1898, 9, -0.19
1898, 10, -0.33
1898, 11, -0.66
1898, 12, -0.78
1899, 1, -0.75
1899, 2, -0.71
1899, 3, -0.56
1899, 4, -0.34
1899, 5, 0.04
1899, 6, 0.09
1899, 7, -0.02
1899, 8, 0.63
1899, 9, 0.43
1899, 10, 0.92
1899, 11, 1.29
1899, 12, 1.51
1900, 1, 1.41
1900, 2, 1.29
1900, 3, 0.99
1900, 4, 0.66
1900, 5, 0.54
1900, 6, 0.76
1900, 7, 0.75
1900, 8, 0.78
1900, 9, 0.56
1900, 10, 0.42
1900, 11, 0.14
1900, 12, 0.60
1901, 1, 0.82
1901, 2, 0.29
1901, 3, 0.05
1901, 4, -0.13
1901, 5, -0.19
1901, 6, -0.26
1901, 7, -0.30
1901, 8, -0.38
1901, 9, -0.30
1901, 10, -0.31
1901, 11, -0.39
1901, 12, -0.35
1902, 1, -0.50
1902, 2, -0.26
1902, 3, -0.27
1902, 4, 0.20
1902, 5, 0.47
1902, 6, 0.77
1902, 7, 1.44
1902, 8, 1.21
1902, 9, 1.44
1902, 10, 1.40
1902, 11, 1.54
1902, 12, 1.39
1903, 1, 1.33
1903, 2, 0.93
1903, 3, 0.79
1903, 4, 0.36
1903, 5, -0.10
1903, 6, 0.29
1903, 7, -0.49
1903, 8, -0.32
1903, 9, -0.60
1903, 10, -0.42
1903, 11, -0.76
1903, 12, -1.02
1904, 1, -0.73
1904, 2, -0.79
1904, 3, -0.85
1904, 4, -0.72
1904, 5, -0.40
1904, 6, 0.14
1904, 7, 0.75
1904, 8, 0.54
1904, 9, 0.01
1904, 10, 0.91
1904, 11, 0.15
1904, 12, 0.86
1905, 1, 0.68
1905, 2, 0.72
1905, 3, 0.92
1905, 4, 0.29
1905, 5, 1.08
1905, 6, 0.59
1905, 7, 0.82
1905, 8, 1.04
1905, 9, 1.42
1905, 10, 1.12
1905, 11, 0.83
1905, 12, 1.17
1906, 1, 0.89
1906, 2, 0.67
1906, 3, 0.80
1906, 4, 0.45
1906, 5, 0.02
1906, 6, 0.15
1906, 7, -0.49
1906, 8, -0.37
1906, 9, -0.81
1906, 10, -0.87
1906, 11, -0.33
1906, 12, -0.51
1907, 1, -0.57
1907, 2, -0.41
1907, 3, -0.43
1907, 4, -0.56
1907, 5, -0.47
